@relation felizJLO4Weka3

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute Emocion {Feliz,Sorpresa,Triste,Enojado,Neutral}

@data
0.12846,0.131373,0.143937,0.11062,0.101274,0.236941,0.062088,0.109657,0.007979,0.119474,Feliz
0.127385,0.066481,0.129025,0.06819,0.002817,0.161328,0.065761,0.116144,0.011614,0.050704,Feliz
0.132983,0.144187,0.138629,0.152459,0.111627,0.260724,0.072276,0.12765,0.227717,0.308434,Feliz
0.08987,0.103239,0.101972,0.066948,0.045702,0.167772,0.069896,0.123446,0.105854,0.132618,Feliz
0.112994,0.142495,0.141067,0.097878,0.101499,0.227463,0.069274,0.122347,0.086258,0.111858,Feliz
0.163586,0.155659,0.165947,0.128688,0.12116,0.280763,0.068261,0.120559,0.07608,0.122737,Feliz
0.077934,0.062506,0.079427,0.06313,0.059657,0.128073,0.068865,0.121626,0.078101,0.102611,Feliz
0.12372,0.101355,0.110519,0.110519,0.092506,0.203166,0.074824,0.132151,0.087483,0.11859,Feliz
0.099274,0.1421,0.133277,0.10361,0.099695,0.220279,0.075551,0.133434,0.029837,0.077737,Feliz
0.123839,0.122124,0.131351,0.080495,0.097903,0.204709,0.072276,0.12765,0.074368,0.109415,Feliz
0.203173,0.16098,0.179981,0.131133,0.094561,0.31111,0.071174,0.125704,0.232868,0.317205,Feliz
0.182071,0.231039,0.230482,0.215514,0.169399,0.394044,0.070743,0.124943,0.06776,0.103075,Feliz
0.113466,0.065153,0.092895,0.135528,0.113466,0.135528,0.063266,0.111737,0.093287,0.03523,Feliz
0.064493,0.072354,0.073643,0.065664,0.057201,0.125891,0.069896,0.123446,0.111424,0.128882,Feliz
0.135282,0.112612,0.134191,0.122155,0.094378,0.23351,0.070743,0.124943,0.082042,0.12604,Feliz
0.169367,0.103277,0.157209,0.127255,0.106249,0.256962,0.068662,0.121268,0.073764,0.080762,Feliz
0.056307,0.066483,0.07433,0.060667,0.054465,0.116655,0.068062,0.120207,0.039115,0.096914,Feliz
0.138659,0.110501,0.130518,0.094821,0.093865,0.215757,0.070106,0.123817,0.093287,0.098368,Feliz
0.136627,0.128113,0.144702,0.140754,0.074716,0.262204,0.069274,0.122347,0.091412,0.110272,Feliz
0.227759,0.24577,0.297985,0.212583,0.197829,0.451161,0.063438,0.112041,0.070704,0.131141,Feliz
0.099938,0.08663,0.092895,0.102626,0.079964,0.173607,0.062088,0.109657,0.009589,0.132045,Feliz
0.121952,0.088035,0.123292,0.106611,0.081485,0.167568,0.063095,0.111435,0.089842,0.114698,Feliz
0.190828,0.095374,0.191586,0.149733,0.068227,0.276298,0.06449,0.113898,0.113293,0.128772,Feliz
0.153518,0.10628,0.147491,0.127025,0.10583,0.244639,0.063266,0.111737,0.108401,0.128491,Feliz
0.184715,0.095023,0.186721,0.142822,0.067424,0.274533,0.061597,0.108789,0.114221,0.118587,Feliz
0.053561,0.058711,0.068535,0.054431,0.046947,0.094086,0.062756,0.110836,0.072581,0.081625,Feliz
0.132415,0.145238,0.16514,0.095638,0.102792,0.250995,0.064668,0.114213,0.083149,0.104421,Feliz
0.160095,0.138196,0.152996,0.13526,0.116606,0.268719,0.067864,0.119858,0.085546,0.106611,Feliz
0.142848,0.169099,0.151329,0.157984,0.119999,0.286583,0.069687,0.123078,0.076513,0.105791,Feliz
0.071523,0.089089,0.034466,0.167303,0.079767,0.150482,0.063611,0.112346,0.025121,0.129478,Feliz
0.099541,0.081211,0.138773,0.031143,0.069638,0.164723,0.065029,0.11485,0.038997,0.168817,Feliz
0.155347,0.169066,0.197746,0.119339,0.109023,0.30476,0.064668,0.114213,0.119628,0.126366,Feliz
0.131836,0.166948,0.18404,0.118427,0.126666,0.27714,0.063611,0.112346,0.104114,0.09993,Feliz
0.145827,0.181259,0.207591,0.150231,0.139803,0.313901,0.064848,0.114531,0.066782,0.097539,Feliz
0.107385,0.131125,0.136364,0.123372,0.100685,0.227288,0.06242,0.110243,0.078684,0.127055,Feliz
0.035887,0.038799,0.043853,0.035643,0.021475,0.064897,0.068865,0.121626,0.075611,0.126981,Feliz
0.129105,0.120207,0.119853,0.122899,0.09334,0.227573,0.068062,0.120207,0.09951,0.127282,Feliz
0.128531,0.123724,0.143215,0.081797,0.089045,0.22002,0.068461,0.120912,0.035676,0.129564,Feliz
0.17588,0.128379,0.153046,0.149948,0.081278,0.293299,0.061113,0.107935,0.094277,0.106013,Feliz
0.161222,0.133289,0.172523,0.136078,0.113484,0.278578,0.064312,0.113584,0.066173,0.129506,Feliz
0.121043,0.14857,0.169754,0.116896,0.112444,0.256665,0.061113,0.107935,0.094277,0.131465,Feliz
0.117851,0.115283,0.113877,0.095638,0.083102,0.203144,0.064668,0.114213,0.075354,0.11545,Feliz
0.095151,0.118329,0.120836,0.111562,0.088197,0.204154,0.064312,0.113584,0.104719,0.129359,Feliz
0.083649,0.106445,0.107438,0.097398,0.068871,0.184655,0.064312,0.113584,0.090239,0.097359,Feliz
0.176592,0.149512,0.181085,0.14073,0.128237,0.297172,0.066511,0.117467,0.108262,0.142905,Feliz
0.104844,0.135978,0.134068,0.134068,0.101033,0.19407,0.062925,0.111135,0.067385,0.094647,Feliz
0.048655,0.077143,0.054361,0.025714,0.025714,0.105753,0.066701,0.117803,0.105869,0.143683,Feliz
0.161272,0.101274,0.157005,0.117804,0.107573,0.245042,0.062088,0.109657,0.045213,0.12777,Feliz
0.174959,0.13455,0.177564,0.135934,0.097599,0.295443,0.063266,0.111737,0.070513,0.108841,Feliz
0.16244,0.137136,0.159302,0.132061,0.098244,0.278263,0.063611,0.112346,0.032698,0.151146,Feliz
0.172591,0.139884,0.156788,0.147397,0.124072,0.282197,0.065761,0.116144,0.094482,0.12298,Feliz
0.134815,0.039013,0.140769,0.085125,0.068338,0.173811,0.063611,0.112346,0.079066,0.093123,Feliz
0.026198,0.052395,0.034233,0.047536,0.038168,0.06987,0.061544,0.046711,0.081584,0.087629,Sorpresa
0.179663,0.165928,0.185371,0.182793,0.139251,0.26087,0.070107,0.05321,0.062571,0.116268,Sorpresa
0.194562,0.148421,0.196777,0.158362,0.130435,0.322996,0.068518,0.052004,0.077322,0.110008,Sorpresa
0.150437,0.206309,0.184303,0.162869,0.137395,0.326043,0.069703,0.052904,0.057924,0.118191,Sorpresa
0.130946,0.159741,0.169914,0.136101,0.128273,0.27067,0.073516,0.055798,0.079261,0.089756,Sorpresa
0.096244,0.134871,0.133383,0.090612,0.095249,0.210456,0.072852,0.055294,0.075542,0.085724,Sorpresa
0.097719,0.125236,0.117004,0.110694,0.091281,0.20658,0.07031,0.053365,0.168605,0.239009,Sorpresa
0.208071,0.229648,0.267937,0.195482,0.183834,0.412826,0.072852,0.055294,0.024284,0.129378,Sorpresa
0.083642,0.159741,0.083642,0.128233,0.128273,0.083642,0.069105,0.05245,0.180091,0.058792,Sorpresa
0.229459,0.185916,0.256427,0.160305,0.145089,0.389948,0.069303,0.0526,0.095635,0.058792,Sorpresa
0.125034,0.163671,0.172983,0.10091,0.11675,0.261111,0.07031,0.053365,0.160543,0.213302,Sorpresa
0.038613,0.031277,0.038613,0.020941,0.042837,0.047041,0.062823,0.047682,0.072028,0.083844,Sorpresa
0.105726,0.086962,0.086915,0.075805,0.07125,0.107955,0.068712,0.052152,0.152671,0.187285,Sorpresa
0.118111,0.146634,0.14501,0.128233,0.107662,0.247335,0.06794,0.051566,0.067474,0.073733,Sorpresa
0.124259,0.094679,0.095858,0.098948,0.085222,0.187162,0.068518,0.052004,0.093527,0.102689,Sorpresa
0.163858,0.09463,0.131792,0.136272,0.108384,0.24209,0.066265,0.050295,0.076712,0.103132,Sorpresa
0.11805,0.137028,0.166011,0.109603,0.111317,0.242522,0.065904,0.050021,0.052412,0.090083,Sorpresa
0.068592,0.051619,0.077634,0.056045,0.046704,0.116609,0.06266,0.047558,0.054095,0.11167,Sorpresa
0.174289,0.194873,0.187932,0.191365,0.14984,0.342793,0.062337,0.047313,0.072349,0.10567,Sorpresa
0.164996,0.207855,0.215032,0.181892,0.155085,0.353173,0.061859,0.04695,0.038363,0.113573,Sorpresa
0.199667,0.179265,0.235801,0.19027,0.04885,0.345343,0.058422,0.044342,0.057971,0.090797,Sorpresa
0.232433,0.116693,0.227981,0.184591,0.079622,0.333678,0.057315,0.043501,0.097416,0.097962,Sorpresa
