negativo|Salgo de #VeoTV , que día más largoooooo...
negativo|@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias
negativo|Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)
positivo|Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!
negativo|RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio...
positivo|Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!
negativo|Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.
positivo|Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.
positivo|Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb
positivo|Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.
positivo|Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?
negativo|#programascambiados caca d ajuste
positivo|“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;)
negativo|Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?
negativo|Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu
positivo|La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija
positivo|¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG
negativo|abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ
negativo|abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB
negativo|La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas
negativo|Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE
negativo|Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad
positivo|"""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by"
negativo|#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.
positivo|Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria
positivo|Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy
positivo|#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!
negativo|"""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"""
negativo|"Open Master Class@javiersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… ."
positivo|3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.
negativo|Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.
negativo|Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV
negativo|No se ha aprobado la ley Sinde
negativo|se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.
positivo|"¡¡Mucho ánimo hoy para ""La Armada""!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6"
negativo|"Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:""no sabe de lo que habla, no es cierto"""
negativo|Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.
negativo|En el blog: Defender la solidaridad http://t.co/8sDDYC8j
positivo|#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano
negativo|"Qué graciosos los ""laicos"" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!"
negativo|Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE
negativo|El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria
negativo|El post de hoy en mi blog http://t.co/nzhcgrxn
positivo|Me encanta ver por aqui  a @TuDNIe ;-))
positivo|si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b
negativo|La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH
positivo|“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!
negativo|El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él
negativo|firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA
positivo|El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG
negativo|Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1
negativo|Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!
negativo|"Granado reconoce que da los datos de paro ""con objetividad"" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30"
