positivo|Me gusta programar en Java :*
positivo|Java es mi mejor amigo
positivo|@rukko Estooooy muy feliz!! +1 #aprendiendo #java
positivo|@rukko Estooooy muy feliz!! +1 #jugando #ajedrez
positivo|@kbza ¡Estoy feeeeeeliz y contento! :-)
positivo|Somos campeones!!! Brillante victoria!! Ganamos... 1250 likes
positivo|Yo amo este carro :*
positivo|El paisaje es increíble :)
positivo|Estudiar un doctorado es emocionante lol
positivo|Me siento muy bien este día xD
positivo|Estoy emocionado por el viaje xoxo
positivo|El es mi mejor amigo +1
negativo|horribleeee 123 no me gusta
positivo|horribleeee programar en Java no me gusta
positivo|Afirma @mx que la Ley #3de3 es positiva
positivo|Buenas noches :-)  Acá son las 5:45 am
positivo|Ya termine de jugar ajedreeeeeeeeeeeez!!!
positivo|Ya termine de programar en Java!!!
positivo|Ya termine de programar en Python!!!
positivo|Programando el PROYECTO, análisis de sentimiento en python.
positivo|Programando el tutor Java Sensei, trabajando con Java y Python.
positivo|Java es un buen lenguaje de programación para aprender POO.
negativo|El calor es insoportable :-( wtf
negativo|Es un día decepcionante. En 8 horas de trabajo todo me salio mal :-( xp
negativo|Fue un día decepcionante. En 8 horas de programar en Java todo me salio mal :-( xp
negativo|La presentación del proyecto Python fue un desastre...me duele la cabeza.
negativo|La presentación fue un desastre...me duele la cabeza.
negativo|Me duele la espalda y tu tienes la culpa.
negativo|Pésimo día de trabajo. Me duele la espalda y el cuello.
negativo|El ajedrez es malo para la salud, es un vicio que te enferma la mente.
negativo|Programar en Java es malo para la salud, es un vicio que te enferma la mente.
negativo|No me gusta ese carro wtf
negativo|El paisaje es horrible.
negativo|Me siento cansado y no se que hacer xp
negativo|¡El no es mi amigo!, sólo se está aprovechando de mi.
negativo|Perdimos el campeonato mundial.  Me siento terrible :(
negativo|¿Quieres comer algo? :(
negativo|La comPUtadoRa no funciona #UnAsco
negativo|La Máquina Virtual de Java no funciona #UnAsco
negativo|NetBeans no funciona en mi computadora #UnAsco
positivo|mas unidos que nunca @rossy
negativo|horribleeee 123 no me gusta
negativo|no vale $ la pena esto !!!
positivo|java es el mejor lenguaje de programación
positivo|java es un buen lenguaje para aprender a programar
negativo|es muy difícil programar en Java
negativo|programar en java es un asco
positivo|programar en java es lo mejor que te puede suceder
negativo|java es un lenguaje de programación que no sirve para nada
negativo|por favor ayúdame con mi tarea de programación, necesito simular un cajero automático con transacción﻿
positivo|quiero aprender sobre modularización y abstracción y la utilizacion de diferentes clases haciendo reeferencia a objetos.
negativo|Al compilar me genera un error...!!!! ya no se que hacer con esto Que está mal????????????
positivo|quiero aprender sobre programación orientada a objetos con bluej
positivo|Me encanto tu comentario sobre Visual Basic, fue brutalmente honesto, gracias!!!
﻿negativo|Si le das a alguien un programa, lo frustarás un día. Si le enseñas a programar, lo frustarás toda la vida.
positivo|La vida sería mucho más sencilla si pudiéramos echar un vistazo al código fuente.
positivo|La memoria es como un orgasmo: es mucho mejor cuando no tienes que simularla.
positivo|Cualquier tecnología lo suficientemente avanzada es indistingible de la magia.
positivo|Los programadores de verdad no documentan. Si fué difícil de escribir, debe ser difícil de entender.
positivo|Si no fuera por el C, estaríamos escribiendo programas en BASIC, PASCAL, o COBOL.
positivo|Medir el progreso en un proyecto de programación por líneas de código es como medir la construcción de un aeroplano por su peso.
positivo|Antes de que un software pueda ser reusable, primero ha de ser usable.
positivo|Sin análisis de requisitos o sin diseño, programar es el arte de crear errores en un documento de texto vacío.
positivo|No es un bug, es una característica no documentada.
negativo|Sólo hay dos clases de lenguajes de programación: Los lenguajes de los que se queja la gente, y los lenguajes que nadie usa.
negativo|El problema con los programadores es que nunca sabes lo que están haciendo hasta que es demasiado tarde.
positivo|El software es como el sexo, mucho mejor si es gratis
negativo|Con toda seguridad, el 90% de todo el software es una mierda. Eso es debido a que el 90% de todas las cosas son una mierda.
negativo|IBM: la excelencia en mediocridad.
negativo|Amar es… borrar el Windows del disco duro de ella.
positivo|Si el Universo fuera un programa estaría hecho en C y correría sobre un sistema GNU/LINUX
negativo|Si debbuging es el proceso de eliminar errores, entonces la programación debe ser el proceso de crearlos.
positivo|Linux, el sistema operativo todo terreno!.
positivo|Sabes que es amor cuando memorizas su numero de IP para saltar el DNS.
positivo|Los README son para los cobardes. Sé valiente. Ejecuta el programa.
positivo|Me gustaría cambiar el mundo, pero no me dan el codigo fuente.
positivo|Pues en mi compu funciona perfectamente. Ven y lo ves funcionar si no me crees.
positivo|Estoy completamente seguro de que ese error ya lo corregí.
negativo|¿Qué estabas haciendo exactamente cuando el programa se colgó?
negativo|Aunque todavía no funcione el programa, ¿qué te parece la interfaz?
negativo|¿Le has pasado el antivirus a tu computadora?
negativo|Alguien debe haber hecho cambios en mi código fuente.
negativo|No es mi culpa. Debe ser por esa librería de software libre que utilizamos.
negativo|Hay algo en tus datos que no huele bien.
negativo|Eso nunca lo había hecho antes.  Ayer este código si funcionaba.
negativo|Lo he programado de prisa y corriendo, pero lo arreglaré pronto.
positivo|Esta tarea es facilísima. He terminado ya, casi.
negativo|Si hay un bug, es imposible que esté mi código.
negativo|Añadiré la prueba unitaria en la siguiente salida de versión.
negativo|Ya comentaré y documentaré el código más tarde.
negativo|Para la tarde estará terminado, está casi hecho ya.
negativo|Esto es una solución temporal, pero no va a ir así en producción.
negativo|Esto debe ser un problema del navegador.
negativo|Esto lo empiezo el lunes.
positivo|Ya lo he terminado, ahora estoy en fase de pruebas.
negativo|Ayer lo dejé funcionando… !no tengo ni idea de por qué no funciona hoy!
negativo|La culpa de esto es del usuario.
negativo|Es solo un prototipo.  No puedes utilizar esa versión en tu sistema
negativo|Esto queda hecho en tres días, como mucho.
negativo|Pues es raro, esto nunca había pasado antes.¿Qué versión del framework tienes instalada en tu compu?
negativo|Pues ayer funcionaba.  ¿Ya revisaste si tu máquina no tiene virus?
negativo|Pues que raro que en tu máquina no funcione.  Tiene que ser un problema de tu hardware.
negativo|Debes de estar usando una versión anterior del programa.  ¿Qué hiciste mal para lograr que fallara?
negativo|Pues que raro que en tu máquina no funcione.  Algo debe de estar mal en tus datos.
negativo|Es sólo una desafortunada coincidencia.  Si funciona solo que no lo he probado en otra máquina.
negativo|ESTO, no puede ser la causa de ESO.  ¡No he tocado ese módulo en meses!”
negativo|en mi maquina siempre funciona…lástima q en la web aveces fallan algunas cosas
negativo|Debe ser que no lo sabes usar bien.  ¿Te has leido el manual que escribi?
negativo|¿Y si reinicias la compu, y pruebas de nuevo?
negativo|Pues solo te pasa a ti...tengo 20 personas a las que les funciona perfecto!
negativo|Esto funcionaba hace 20 minutos...No tengo idea de lo que esta pasando
positivo|El programa ya funciona :-)
positivo|Mi programa por fin compila!!
